,ID,Order Date,Class,Region,Sub-Category,Sales
0,646,2018-12-30,Стандарт,Урал,Appliances,37229.08
1,907,2018-12-30,Стандарт,Владивосток,Bookcases,20994.61
2,908,2018-12-30,Стандарт,Владивосток,Phones,42133.86
3,909,2018-12-30,Стандарт,Владивосток,Binders,10612.0
4,1297,2018-12-30,Стандарт,Калиниград,Binders,28781.13
5,1298,2018-12-30,Стандарт,Калиниград,Binders,7366.876
6,5092,2018-12-30,Стандарт,Калиниград,Fasteners,42478.36
7,1878,2018-12-29,Стандарт,Калиниград,Chairs,11542.82
8,1879,2018-12-29,Стандарт,Калиниград,Phones,1783.405
9,2875,2018-12-29,Первый класс,Владивосток,Fasteners,26200.09
10,4240,2018-12-29,Стандарт,Урал,Paper,14612.86
11,5132,2018-12-29,Стандарт,Калиниград,Furnishings,34620.87
12,5457,2018-12-29,Стандарт,Калиниград,Fasteners,42589.86
13,5458,2018-12-29,Стандарт,Калиниград,Furnishings,40155.94
14,7633,2018-12-29,Второй класс,Москва,Chairs,23831.5
15,7634,2018-12-29,Второй класс,Москва,Binders,26595.62
16,7635,2018-12-29,Второй класс,Москва,Art,19618.41
17,7636,2018-12-29,Второй класс,Москва,Chairs,22465.96
18,7637,2018-12-29,Второй класс,Москва,Chairs,26242.81
19,271,2018-12-28,Второй класс,Калиниград,Storage,16992.99
20,571,2018-12-28,Стандарт,Владивосток,Labels,31226.94
21,572,2018-12-28,Стандарт,Владивосток,Fasteners,16731.25
22,573,2018-12-28,Стандарт,Владивосток,Binders,44558.37
23,574,2018-12-28,Стандарт,Владивосток,Phones,23689.7
24,954,2018-12-28,Стандарт,Урал,Art,24716.06
25,955,2018-12-28,Стандарт,Урал,Bookcases,30339.32
26,2432,2018-12-28,Стандарт,Калиниград,Furnishings,39774.51
27,4288,2018-12-28,Стандарт,Москва,Storage,22574.09
28,6090,2018-12-28,Второй класс,Калиниград,Binders,4491.1
29,6150,2018-12-28,Первый класс,Калиниград,Chairs,6451.79
